segment,segment_name,name,address,city,state,phone,website,rating,review_count,categories,hours,google_maps_url,neighborhood,has_website,search_term,vertical,scraped_at,place_id
0,Excluded (Chain/Bad),Elevated Auto & Collision,"323 N Loop W, Houston, TX 77008",Houston,Texas,(713) 393-7802,http://www.elevatedautotx.com/,5,170,"Auto body shop, Auto painting, Auto repair shop, Car inspection station, Car repair and maintenance service, Mechanic, Smog inspection station, Vehicle inspection service",Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 8 AM to 3 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Elevated%20Auto%20%26%20Collision&query_place_id=ChIJ1Q5JJP3HQIYRQRkw0bNKwg0,Greater Heights,yes,auto repair shop,auto_repair,2026-03-11T16:22:18.897Z,ChIJ1Q5JJP3HQIYRQRkw0bNKwg0
0,Excluded (Chain/Bad),David's Auto Collision,"3308 Ella Blvd suite m, Houston, TX 77018",Houston,Texas,(281) 704-9779,http://davidsautocollision.com/,5,371,"Auto body shop, Auto painting, Auto restoration service, Car detailing service, Car repair and maintenance service, Glass repair service, Powder coating service",Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 9:30 AM to 1 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=David's%20Auto%20Collision&query_place_id=ChIJ0S_A4KnHQIYRpVAkUpaQ4jM,Central Northwest,yes,auto repair shop,auto_repair,2026-03-11T16:22:21.114Z,ChIJ0S_A4KnHQIYRpVAkUpaQ4jM
0,Excluded (Chain/Bad),Texas 6 Collision,"1630 S Texas 6 Unit A, Houston, TX 77077",Houston,Texas,(832) 428-8917,https://texas6.com/,5,50,"Auto body shop, Auto bodywork mechanic, Auto dent removal service, Auto glass shop, Auto painting, Auto repair shop, RV repair shop",Monday: 9 AM to 6 PM | Tuesday: 9 AM to 6 PM | Wednesday: 9 AM to 6 PM | Thursday: 9 AM to 6 PM | Friday: 9 AM to 6 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Texas%206%20Collision&query_place_id=ChIJk94Y4wXdQIYRR-7Z4AXXF58,Westside,yes,auto repair shop,auto_repair,2026-03-11T16:22:57.265Z,ChIJk94Y4wXdQIYRR-7Z4AXXF58
0,Excluded (Chain/Bad),Revline Auto Repair,"1705 Campbell Rd, Houston, TX 77080",Houston,Texas,(346) 212-2884,https://revlineautorepair.com/,5,203,Auto repair shop,Monday: 7 AM to 6 PM | Tuesday: 7 AM to 6 PM | Wednesday: 7 AM to 6 PM | Thursday: 7 AM to 6 PM | Friday: 7 AM to 6 PM | Saturday: 7 AM to 6 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Revline%20Auto%20Repair&query_place_id=ChIJO4sXrkXFQIYRdFWbgXsv24c,Spring Branch Central,yes,auto repair shop,auto_repair,2026-03-11T16:23:00.440Z,ChIJO4sXrkXFQIYRdFWbgXsv24c
0,Excluded (Chain/Bad),TX Auto Service,"5628 Star Ln, Houston, TX 77057",Houston,Texas,(832) 942-0333,http://www.txautoservice.com/,5,85,Car repair and maintenance service,Monday: 8 AM to 7 PM | Tuesday: 8 AM to 7 PM | Wednesday: 8 AM to 7 PM | Thursday: 8 AM to 7 PM | Friday: 8 AM to 7 PM | Saturday: 9 AM to 4 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=TX%20Auto%20Service&query_place_id=ChIJs_NQ94DDQIYRBiOLE0dVVUY,Westside,yes,auto repair shop,auto_repair,2026-03-11T16:23:01.863Z,ChIJs_NQ94DDQIYRBiOLE0dVVUY
0,Excluded (Chain/Bad),Scottsdale Auto Glass,"29455 N Cave Creek Rd, Cave Creek, AZ 85331",Cave Creek,Arizona,(480) 991-4525,https://scottsdaleautoglass.com/,5,107,Auto glass shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Scottsdale%20Auto%20Glass&query_place_id=ChIJB4BW6f97K4cRs68bjliQcHI,Tatum Ranch,yes,auto repair shop,auto_repair,2026-03-11T16:22:07.198Z,ChIJB4BW6f97K4cRs68bjliQcHI
0,Excluded (Chain/Bad),Cave Creek Garage Repairs,"31859 N 53rd St, Cave Creek, AZ 85331",Cave Creek,Arizona,(602) 346-5891,https://cavecreekgaragerepairs.com/,5,292,Garage door supplier,Monday: 8 AM to 6 PM | Tuesday: 8 AM to 6 PM | Wednesday: 8 AM to 6 PM | Thursday: 8 AM to 6 PM | Friday: 8 AM to 6 PM | Saturday: 8 AM to 6 PM | Sunday: 8 AM to 6 PM,https://www.google.com/maps/search/?api=1&query=Cave%20Creek%20Garage%20Repairs&query_place_id=ChIJG5di3TJ7K4cRw_Nml74bArk,Desert View Village,yes,auto repair shop,auto_repair,2026-03-11T16:22:09.602Z,ChIJG5di3TJ7K4cRw_Nml74bArk
0,Excluded (Chain/Bad),PresiDENTial Repair,"6514 Hunter Ct, Phoenix, AZ 85083",Phoenix,Arizona,(602) 642-5761,http://presidentialrepair.com/,5,152,Auto dent removal service,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: 9 AM to 5 PM | Sunday: 9 AM to 5 PM,https://www.google.com/maps/search/?api=1&query=PresiDENTial%20Repair&query_place_id=ChIJoU-D9_JvK4cRQaZJb2TyHF4,Deer Valley,yes,auto repair shop,auto_repair,2026-03-11T16:22:28.293Z,ChIJoU-D9_JvK4cRQaZJb2TyHF4
0,Excluded (Chain/Bad),Gryath Glass,"4809 W Lydia Ln, Laveen Village, AZ 85339",Laveen Village,Arizona,(602) 410-0605,http://www.gryathglass.com/,5,234,"Auto glass shop, Auto sunroof shop",Monday: 7 AM to 5 PM | Tuesday: 7 AM to 5 PM | Wednesday: 7 AM to 5 PM | Thursday: 7 AM to 5 PM | Friday: 7 AM to 5 PM | Saturday: 9 AM to 12 PM | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Gryath%20Glass&query_place_id=ChIJU7NoZiUXK4cRdreW6g47H3k,Laveen Village,yes,auto repair shop,auto_repair,2026-03-11T16:22:31.644Z,ChIJU7NoZiUXK4cRdreW6g47H3k
0,Excluded (Chain/Bad),5 Stars Body Shop LLC.,"1395 N 19th Ave, Phoenix, AZ 85009",Phoenix,Arizona,(602) 365-0184,http://www.fivestarsbodyshop.com/,5,73,"Auto body shop, Auto dent removal service, Auto glass shop, Auto repair shop, Auto wrecker",Monday: 8 AM to 5:30 PM | Tuesday: 8 AM to 5:30 PM | Wednesday: 8 AM to 5:30 PM | Thursday: 8 AM to 5:30 PM | Friday: 8 AM to 5:30 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=5%20Stars%20Body%20Shop%20LLC.&query_place_id=ChIJ__8veO8SK4cRNGtpy3M6hYU,Central City,yes,auto repair shop,auto_repair,2026-03-11T16:22:46.804Z,ChIJ__8veO8SK4cRNGtpy3M6hYU
0,Excluded (Chain/Bad),Sheppard Automotive Repair,"21242 N Black Cyn Hwy, Phoenix, AZ 85027",Phoenix,Arizona,(602) 416-1626,https://sheppardautorepair.com/,5,63,Auto repair shop,Monday: 8 AM to 5 PM | Tuesday: 8 AM to 5 PM | Wednesday: 8 AM to 5 PM | Thursday: 8 AM to 5 PM | Friday: 8 AM to 5 PM | Saturday: Closed | Sunday: Closed,https://www.google.com/maps/search/?api=1&query=Sheppard%20Automotive%20Repair&query_place_id=ChIJk2jlaG1xK4cRyhvmT25jFgY,Deer Valley,yes,auto repair shop,auto_repair,2026-03-11T16:22:47.472Z,ChIJk2jlaG1xK4cRyhvmT25jFgY
